Project Name,Description,Stars,Forks,URL,Created At,Last Activity
PhD Thesis Repository,,0,0,https://gitlab.com/uniroma3/compunet/phd-thesis-repository,2026-07-25,2026-07-25
containers-template,,0,0,https://gitlab.com/blockolepitchitchi4/containers-template,2026-07-25,2026-07-25
adhell3,,0,0,https://gitlab.com/wlo/adhell3,2026-07-25,2026-07-25
t4tec,,0,0,https://gitlab.com/pyypl2005/t4tec,2026-07-25,2026-07-25
tm,Persistent task memory for coding agents,0,0,https://gitlab.com/viktomas/tm,2026-07-25,2026-07-25
wiki_testing-a943f26bfe6f3aa1,project for testing wikis,0,0,https://gitlab.com/gitlab-e2e-sandbox-group-3/e2e-test-2026-07-25-18-07-23-842d43bf2e90b3a2/wiki_testing-a943f26bfe6f3aa1,2026-07-25,2026-07-25
project-with-security-findings-cda99dfd95e7ac8f,Project with a branch which contains an MR pipeline with security findings,0,0,https://gitlab.com/gitlab-e2e-sandbox-group-3/e2e-test-2026-07-25-18-07-23-3404e3e434ccb119/project-with-security-findings-cda99dfd95e7ac8f,2026-07-25,2026-07-25
t2tes,,0,0,https://gitlab.com/pyypl2005/t2tes,2026-07-25,2026-07-25
homebrew,Homebrew tap for project,0,0,https://gitlab.com/project_anvil/homebrew,2026-07-25,2026-07-25
project-with-security-findings-e35fbc63fb94999c,Project with a branch which contains an MR pipeline with security findings,0,0,https://gitlab.com/gitlab-e2e-sandbox-group-3/e2e-test-2026-07-25-18-07-23-a01555271dc626db/project-with-security-findings-e35fbc63fb94999c,2026-07-25,2026-07-25
golang,,0,0,https://gitlab.com/socialmaps/golang,2026-07-25,2026-07-25
puresky,"PureSky — clean, fast, no-ads weather for Android (Capacitor + Open-Meteo)",0,0,https://gitlab.com/tunefriend/puresky,2026-07-25,2026-07-25
RabbitMQ-test,,0,0,https://gitlab.com/kloe.rl/rabbitmq-test,2026-07-25,2026-07-25
mid-course-project,,0,0,https://gitlab.com/momtaz-kd/mid-course-project,2026-07-25,2026-07-25
journorequest,,0,0,https://gitlab.com/elinsd188/journorequest,2026-07-25,2026-07-25
merge-train-with-multiple-cars-47ceb4beca2b0929,My awesome project,0,0,https://gitlab.com/gitlab-e2e-sandbox-group-3/e2e-test-2026-07-25-18-07-23-978a97b7ad6d27b4/merge-train-with-multiple-cars-47ceb4beca2b0929,2026-07-25,2026-07-25
project-with-pipeline-38bca76c5501905b,My awesome project,0,0,https://gitlab.com/gitlab-e2e-sandbox-group-3/e2e-test-2026-07-25-18-07-23-8ca463cb220cdeed/project-with-pipeline-38bca76c5501905b,2026-07-25,2026-07-25
wiki_testing-794b7fbbc6d05338,project for testing wikis,0,0,https://gitlab.com/gitlab-e2e-sandbox-group-3/e2e-test-2026-07-25-18-07-23-e196fcd671bbcfe5/wiki_testing-794b7fbbc6d05338,2026-07-25,2026-07-25
wiki_testing-69a1af715d878ae9,project for testing wikis,0,0,https://gitlab.com/gitlab-e2e-sandbox-group-3/e2e-test-2026-07-25-18-07-23-ca7d1851e491c72e/wiki_testing-69a1af715d878ae9,2026-07-25,2026-07-25
tictactoe-qwen3.6-27b-oQ8e-mtp-omlx-v0.5.3,"Tic-Tac-Toe native Android app built with Kotlin, Jetpack Compose, MVVM, Hilt, Room, DataStore",0,0,https://gitlab.com/ai_coding_playground/tictactoe-qwen3.6-27b-oQ8e-mtp-omlx-v0.5.3,2026-07-25,2026-07-25
xla_staging,,0,0,https://gitlab.com/glab-forks/nvidia/xla_staging,2026-07-25,2026-07-25
project-for-alerts-6c6752d4ed30851e,Project for alerts,0,0,https://gitlab.com/gitlab-e2e-sandbox-group-3/e2e-test-2026-07-25-18-07-23-8c61cbdf16f8ea6f/project-for-alerts-6c6752d4ed30851e,2026-07-25,2026-07-25
project-for-alerts-4a72380ffd00a97e,Project for alerts,0,0,https://gitlab.com/gitlab-e2e-sandbox-group-3/e2e-test-2026-07-25-18-07-23-317b55ba7466f3f9/project-for-alerts-4a72380ffd00a97e,2026-07-25,2026-07-25
project-with-code-c5b8785568e80bed,Project with repository,0,0,https://gitlab.com/gitlab-e2e-sandbox-group-3/e2e-test-2026-07-25-18-07-23-04422dd1b64e7d1f/project-with-code-c5b8785568e80bed,2026-07-25,2026-07-25
push-mirror-target-project-5065c67f1022301e,My awesome project,0,0,https://gitlab.com/gitlab-e2e-sandbox-group-3/e2e-test-2026-07-25-18-07-23-e5986ecb9a599657/push-mirror-target-project-5065c67f1022301e,2026-07-25,2026-07-25
market-simulation-analysis,,0,0,https://gitlab.com/mhtrayane/market-simulation-analysis,2026-07-25,2026-07-25
wiki_testing-e3be1ce879c3a3fe,project for testing wikis,0,0,https://gitlab.com/gitlab-e2e-sandbox-group-3/e2e-test-2026-07-25-18-07-23-56ff355ebe276eee/wiki_testing-e3be1ce879c3a3fe,2026-07-25,2026-07-25
Creative Coloring Ideas,,0,0,https://gitlab.com/nullsbrrawl2/creative-coloring-ideas,2026-07-25,2026-07-25
the_awesome_project-d71d58d4203a345d,My awesome project,0,0,https://gitlab.com/gitlab-e2e-sandbox-group-3/e2e-test-2026-07-25-18-07-23-37321554bb4468dc/the_awesome_project-d71d58d4203a345d,2026-07-25,2026-07-25
the_awesome_project-e96e8574c0f891fc,My awesome project,0,0,https://gitlab.com/gitlab-e2e-sandbox-group-3/e2e-test-2026-07-25-18-07-23-de7990f9bcfb1d54/the_awesome_project-e96e8574c0f891fc,2026-07-25,2026-07-25
pipeline-craft,API FastAPI fil rouge pour les labs GitLab CI/CD — Pipeline Craft,0,0,https://gitlab.com/Pierre_Cazeneuve/pipeline-craft,2026-07-25,2026-07-25
Playwright Cross-Engine,,0,0,https://gitlab.com/public-portfolio2491930/playwright-cross-engine,2026-07-25,2026-07-25
Creative Screen-Free,,0,0,https://gitlab.com/nullsbrrawl2/creative-screen-free,2026-07-25,2026-07-25
astro-blog-starter-template,,0,0,https://gitlab.com/blockolepitchitchi4/astro-blog-starter-template,2026-07-25,2026-07-25
pull-mirror-target-project-ae710fa4fa733271,My awesome project,0,0,https://gitlab.com/gitlab-e2e-sandbox-group-3/e2e-test-2026-07-25-18-07-23-58a158c50c66f6c3/pull-mirror-target-project-ae710fa4fa733271,2026-07-25,2026-07-25
pull-mirror-source-project-57bca58b3c5ab9ea,Project with repository,0,0,https://gitlab.com/gitlab-e2e-sandbox-group-3/e2e-test-2026-07-25-18-07-23-d606f924ddd8eac1/pull-mirror-source-project-57bca58b3c5ab9ea,2026-07-25,2026-07-25
GitDemo,,0,0,https://gitlab.com/merlinca07/gitdemo,2026-07-25,2026-07-25
My C Programs,,0,0,https://gitlab.com/Amorousstake5/mycprograms,2026-07-25,2026-07-25
togel279.monster,,0,0,https://gitlab.com/kemenanganku24/togel279.monster,2026-07-25,2026-07-25
can continue,,0,0,https://gitlab.com/pandytech/can-continue,2026-07-25,2026-07-25
HelloWorld-Apex2026,,0,0,https://gitlab.com/scotty.polston/helloworld-apex2026,2026-07-25,2026-07-25
unlock-job-artifacts-parent-child-project-d93374a425d21fa8,My awesome project,0,0,https://gitlab.com/gitlab-e2e-sandbox-group-3/e2e-test-2026-07-25-18-07-23-7ce171e03ba7c6c9/unlock-job-artifacts-parent-child-project-d93374a425d21fa8,2026-07-25,2026-07-25
Playwright Cross-Engine-deletion_scheduled-84810068,,0,0,https://gitlab.com/public-portfolio2491930/playwright-cross-engine-deletion_scheduled-84810068,2026-07-25,2026-07-25
fe-erp,,0,0,https://gitlab.com/jams5980120/fe-erp,2026-07-25,2026-07-25
unlock-job-artifacts-parent-child-project-0415b5b3a66a3021,My awesome project,0,0,https://gitlab.com/gitlab-e2e-sandbox-group-3/e2e-test-2026-07-25-18-07-23-f50e3910cae75a19/unlock-job-artifacts-parent-child-project-0415b5b3a66a3021,2026-07-25,2026-07-25
juan-reyes-task2-al2,,0,0,https://gitlab.com/juan-reyes-tasks-al2/juan-reyes-task2-al2,2026-07-25,2026-07-25
Postman API Testing Collection,,0,0,https://gitlab.com/public-portfolio2491930/postman-api-testing-collection,2026-07-25,2026-07-25
Multi-Browser and Viewport Audit,,0,0,https://gitlab.com/public-portfolio2491930/multi-browser-and-viewport-audit,2026-07-25,2026-07-25
joelaratheplumber,,0,0,https://gitlab.com/sipalingcorla188/joelaratheplumber,2026-07-25,2026-07-25
unlock-job-artifacts-parent-child-project-e3a4c6cd1b887b28,My awesome project,0,0,https://gitlab.com/gitlab-e2e-sandbox-group-3/e2e-test-2026-07-25-18-07-23-630b2bd2d3ec87d9/unlock-job-artifacts-parent-child-project-e3a4c6cd1b887b28,2026-07-25,2026-07-25
Lighthouse Flow Audit,,0,0,https://gitlab.com/public-portfolio2491930/lighthouse-flow-audit,2026-07-25,2026-07-25
Playwright Cross-Engine and Viewport Suite-deletion_scheduled-84810019,,0,0,https://gitlab.com/public-portfolio2491930/playwright-cross-engine-and-viewport-suite-deletion_scheduled-84810019,2026-07-25,2026-07-25
xieexin,,0,0,https://gitlab.com/seblakparty31-hash/xieexin,2026-07-25,2026-07-25
dockerfile-roast,Read-only mirror of https://github.com/immanuwell/dockerfile-roast - a Dockerfile linter that actual,0,0,https://gitlab.com/immanuwell/dockerfile-roast,2026-07-25,2026-07-25
My-Project 1,,0,0,https://gitlab.com/Noor-ul-Huda394/my-project-1,2026-07-25,2026-07-25
dockerfile-roast-deletion_scheduled-84809979,Read-only mirror of https://github.com/immanuwell/dockerfile-roast — a Dockerfile linter that actual,0,0,https://gitlab.com/immanuwell/dockerfile-roast-deletion_scheduled-84809979,2026-07-25,2026-07-25
tools,,0,0,https://gitlab.com/fleet-management1503930/tools,2026-07-25,2026-07-25
MDK Development,,0,0,https://gitlab.com/mandaladaka/mdk-development,2026-07-25,2026-07-25
RafaelAlves-NET-coding-interview,,0,0,https://gitlab.com/rafaelalvesdev/rafaelalves-net-coding-interview,2026-07-25,2026-07-25
unlock-job-artifacts-parent-child-project-023ae1567787ddd0,My awesome project,0,0,https://gitlab.com/gitlab-e2e-sandbox-group-3/e2e-test-2026-07-25-18-07-23-2a7a12bafe2cbcd6/unlock-job-artifacts-parent-child-project-023ae1567787ddd0,2026-07-25,2026-07-25
Market Research Team,,0,0,https://gitlab.com/kurtsikidzetato3/market-research-team,2026-07-25,2026-07-25
unlock-job-artifacts-parent-child-project-1843b02c8c162809,My awesome project,0,0,https://gitlab.com/gitlab-e2e-sandbox-group-3/e2e-test-2026-07-25-18-07-23-388623d495bc9636/unlock-job-artifacts-parent-child-project-1843b02c8c162809,2026-07-25,2026-07-25
GNOME UV Index,,0,0,https://gitlab.com/mburkard/gnome-uv-index,2026-07-25,2026-07-25
unlock-job-artifacts-parent-child-project-be4744a97401c307,My awesome project,0,0,https://gitlab.com/gitlab-e2e-sandbox-group-3/e2e-test-2026-07-25-18-07-23-321762a8e27a8d48/unlock-job-artifacts-parent-child-project-be4744a97401c307,2026-07-25,2026-07-25
Qwen3.5-397a17b,,0,0,https://gitlab.com/llm-models-demo/qwen3.5-397a17b,2026-07-25,2026-07-25
testpy,,0,0,https://gitlab.com/chiliki-group/testpy,2026-07-25,2026-07-25
Gestor Riesgo Windows,,0,0,https://gitlab.com/sandra2026/gestor-riesgo-windows,2026-07-25,2026-07-25
aub,Apathy Unified Bootloader — custom BIOS/UEFI bootloader for Apathy Linux,0,0,https://gitlab.com/21skibidiserb37/aub,2026-07-25,2026-07-25
technical-papers,,0,0,https://gitlab.com/hemanth.talluri/technical-papers,2026-07-25,2026-07-25
life-skills,,0,0,https://gitlab.com/hemanth.talluri/life-skills,2026-07-25,2026-07-25
academyofsciences,,0,0,https://gitlab.com/masternakama88/academyofsciences,2026-07-25,2026-07-25
apps_cicd_ecs,,0,0,https://gitlab.com/prsricharan/apps_cicd_ecs,2026-07-25,2026-07-25
impacta-exam-system,,0,0,https://gitlab.com/leandroms1975/impacta-exam-system,2026-07-25,2026-07-25
flask-gitlab-demo,,0,0,https://gitlab.com/tejasreedn/flask-gitlab-demo,2026-07-25,2026-07-25
pipeline-for-merged-results-328d2a97131b9ae2,My awesome project,0,0,https://gitlab.com/gitlab-e2e-sandbox-group-3/e2e-test-2026-07-25-18-07-23-2b63b1710addb2f4/pipeline-for-merged-results-328d2a97131b9ae2,2026-07-25,2026-07-25
DuckyGen,,0,0,https://gitlab.com/sacriphanius/duckygen,2026-07-25,2026-07-25
mr-gen-commit-project-be9790fe16bd6484,My awesome project,0,0,https://gitlab.com/gitlab-e2e-sandbox-group-3/e2e-test-2026-07-25-18-07-23-147e1325d7152677/mr-gen-commit-project-be9790fe16bd6484,2026-07-25,2026-07-25
project-with-milestone-e39d3fa39cc45cfa,My awesome project,0,0,https://gitlab.com/gitlab-e2e-sandbox-group-3/e2e-test-2026-07-25-18-07-23-f24865318d84f996/project-with-milestone-e39d3fa39cc45cfa,2026-07-25,2026-07-25
project-without-ci-22ebba42a385f0b2,My awesome project,0,0,https://gitlab.com/gitlab-e2e-sandbox-group-3/e2e-test-2026-07-25-18-07-23-89192910419d2b7f/project-without-ci-22ebba42a385f0b2,2026-07-25,2026-07-25
togel178.win,,0,0,https://gitlab.com/kemenanganku24/togel178.win,2026-07-25,2026-07-25
project-with-failed-run-f4152fe28bc4113e,My awesome project,0,0,https://gitlab.com/gitlab-e2e-sandbox-group-3/e2e-test-2026-07-25-18-07-23-89192910419d2b7f/project-with-failed-run-f4152fe28bc4113e,2026-07-25,2026-07-25
project-with-pending-run-eb94c21e6cf71a57,My awesome project,0,0,https://gitlab.com/gitlab-e2e-sandbox-group-3/e2e-test-2026-07-25-18-07-23-89192910419d2b7f/project-with-pending-run-eb94c21e6cf71a57,2026-07-25,2026-07-25
project-with-success-run-75227fa4d8665cd5,My awesome project,0,0,https://gitlab.com/gitlab-e2e-sandbox-group-3/e2e-test-2026-07-25-18-07-23-89192910419d2b7f/project-with-success-run-75227fa4d8665cd5,2026-07-25,2026-07-25
project-with-blocked-pipeline-8093728993ddde77,My awesome project,0,0,https://gitlab.com/gitlab-e2e-sandbox-group-3/e2e-test-2026-07-25-18-07-23-7023888ad65cce04/project-with-blocked-pipeline-8093728993ddde77,2026-07-25,2026-07-25
ddgtsgt-deletion_scheduled-84809683,,0,0,https://gitlab.com/debesuica/ddgtsgt-deletion_scheduled-84809683,2026-07-25,2026-07-25
App_Mobile_QLChiTieuCaNhan-deletion_scheduled-84809628,Đồ án môn app mobile được code bằng android studio,0,0,https://gitlab.com/MC_PIgman2004/App_Mobile_QLChiTieuCaNhan-deletion_scheduled-84809628,2026-07-25,2026-07-25
myekz-thanos,,0,0,https://gitlab.com/tim.aebi/myekz-thanos,2026-07-25,2026-07-25
pipeline-with-image-pull-policy-fe9e965cf6b5f961,My awesome project,0,0,https://gitlab.com/gitlab-e2e-sandbox-group-3/e2e-test-2026-07-25-18-07-23-2c48eec79d7b9b8e/pipeline-with-image-pull-policy-fe9e965cf6b5f961,2026-07-25,2026-07-25
v2x,,0,0,https://gitlab.com/urayan/v2x,2026-07-25,2026-07-25
pipeline-with-image-pull-policy-6fa6777ace12d6e0,My awesome project,0,0,https://gitlab.com/gitlab-e2e-sandbox-group-3/e2e-test-2026-07-25-18-07-23-a8a8a6cc9db6cf62/pipeline-with-image-pull-policy-6fa6777ace12d6e0,2026-07-25,2026-07-25
Top-Burger,,0,0,https://gitlab.com/MurilloSantos/top-burger,2026-07-25,2026-07-25
